Province,District,School_Name,Year,Overall_Dropout_Percentage,Male_Dropout_Percentage,Female_Dropout_Percentage,Completion_Total,Attendance_Rate,Avg_Household_Income_RWF,Region_Type,Dropout_Risk_Level,Dropout_Risk_Prediction,Dropout_Risk_Probability
Southern,Ruhango,GS Nyacyina,2011,9.23,3.4,15.05,71.65,92.15,372836,Rural,Low Risk,0,0.02736813916516413
Southern,Ruhango,GS Migongo,2012,9.92,9.81,10.04,54.43,95.02,512736,Rural,Low Risk,0,0.16
Southern,Ruhango,King David,2013,17.11,12.48,21.74,66.14,67.63,170744,Rural,High Risk,1,0.7986013981883562
Southern,Ruhango,GS Akumunigo,2014,24.77,23.53,26.0,71.3,93.6,406000,Rural,High Risk,1,0.981888091178116
Southern,Ruhango,Mater Dei,2015,8.81,1.46,16.16,78.17,82.38,217797,Rural,Low Risk,0,0.04002238900386868
Southern,Ruhango,GS Kinteko,2016,14.29,4.39,24.19,70.54,76.65,343935,Rural,Low Risk,0,0.1925976759809852
Southern,Ruhango,GS Gitega,2017,17.34,28.59,6.09,78.68,79.58,494846,Rural,High Risk,1,0.8336242525144965
Southern,Ruhango,Mater Dei,2018,14.41,17.03,11.79,70.07,82.84,485243,Rural,Low Risk,0,0.17953572618742716
Southern,Ruhango,GS Rutongo,2019,6.82,7.34,6.3,77.79,97.08,434535,Rural,Low Risk,0,0.013359933569049636
Southern,Ruhango,GS Mubuga,2020,8.5,5.15,11.86,79.13,63.48,195408,Rural,Low Risk,0,0.004026077978189361
Southern,Ruhango,GS Nyacyina,2021,13.95,20.51,7.39,77.31,69.99,373813,Rural,Low Risk,0,0.3011820025230624
Southern,Ruhango,GS Kimironko II,2022,25.12,26.25,23.99,84.44,66.08,407680,Rural,High Risk,1,0.9878216178514687
Southern,Ruhango,GS Ruramira,2023,9.41,3.72,15.1,74.02,71.66,191911,Rural,Low Risk,0,0.014765672038942081
Southern,Ruhango,GS Buye,2024,22.39,23.4,21.37,84.39,80.52,545725,Rural,High Risk,1,0.994416008902698
Southern,Ruhango,King David,2010,3.92,5.95,1.88,63.62,80.42,172307,Rural,Low Risk,0,0.009057722533119457
Southern,Ruhango,GS Gahanga I,2011,14.01,23.43,4.58,72.62,94.12,266536,Rural,Low Risk,0,0.3583520385277872
Southern,Ruhango,GS Rwamagana,2012,23.47,24.08,22.86,63.79,78.63,381836,Rural,High Risk,1,0.9857977189477188
Southern,Ruhango,GS Akumunigo,2013,7.59,9.15,6.03,79.53,75.68,259882,Rural,Low Risk,0,0.02545024497263724
Southern,Ruhango,GS Rwamagana,2014,15.64,23.41,7.87,81.08,97.17,596005,Rural,High Risk,1,0.8765388674388674
Southern,Ruhango,GS Camp Kigali,2015,13.27,1.56,24.98,82.5,69.38,585514,Rural,Low Risk,0,0.08665059675956227
Southern,Ruhango,GS Kimironko II,2016,24.63,28.88,20.37,79.97,84.46,242482,Rural,High Risk,1,0.9853169003467511
Southern,Ruhango,GS Rutongo,2017,27.03,25.6,28.47,90.6,71.1,308547,Rural,High Risk,1,0.9860681818181818
Southern,Ruhango,ES Kigoma,2018,13.9,16.75,11.06,80.75,71.13,286093,Rural,Low Risk,0,0.11441326632540852
Southern,Ruhango,GS Nyacyina,2019,14.61,25.64,3.58,88.32,99.39,235639,Rural,Low Risk,0,0.22895195540409688
Southern,Ruhango,GS Akumunigo,2020,3.24,2.79,3.68,68.95,66.02,352557,Rural,Low Risk,0,0.00906591012642032
Southern,Ruhango,GS Gitega,2021,3.82,6.49,1.15,74.12,85.9,492551,Rural,Low Risk,0,0.01807291998561597
Southern,Ruhango,ES Kigoma,2022,23.83,24.7,22.95,51.56,68.5,406868,Rural,High Risk,1,0.9840007215007215
Southern,Ruhango,GS Camp Kigali,2023,17.16,11.35,22.97,64.85,64.28,349432,Rural,High Risk,1,0.8942799115406472
Southern,Ruhango,Mater Dei,2024,12.19,10.92,13.47,73.77,89.4,455808,Rural,Low Risk,0,0.12960383824984073
Southern,Ruhango,GS Matara,2010,20.81,22.28,19.33,74.34,74.21,457226,Rural,High Risk,1,0.9476399052758941
Southern,Ruhango,GS Mweya,2011,26.41,28.02,24.81,80.59,95.94,549777,Rural,High Risk,1,0.993227834796231
Southern,Ruhango,GS Agataramo,2012,5.88,3.4,8.36,71.97,63.03,491716,Rural,Low Risk,0,0.03516742878162674
Southern,Ruhango,GS Rukomo,2013,12.76,17.97,7.56,91.98,87.99,102866,Rural,Low Risk,0,0.43006338728649945
Southern,Ruhango,GS Mweya,2014,13.53,17.47,9.59,93.93,99.34,217192,Rural,Low Risk,0,0.2608174863187402
Southern,Ruhango,GS Rwanyanza,2015,12.29,13.51,11.08,52.58,87.68,285782,Rural,Low Risk,0,0.1295471908413436
Southern,Ruhango,GS Mubuga,2016,13.57,18.81,8.33,73.42,92.94,174960,Rural,Low Risk,0,0.07125431059560629
Southern,Ruhango,GS Migongo,2017,11.34,11.17,11.51,78.35,68.36,502064,Rural,Low Risk,0,0.03886657558750086
Southern,Ruhango,GS Rwamagana,2018,20.18,14.98,25.39,65.06,92.34,165333,Rural,High Risk,1,0.9720369260807066
Southern,Ruhango,GS Matara,2019,4.2,6.92,1.49,68.89,76.83,384697,Rural,Low Risk,0,0.019044582128115724
Southern,Ruhango,GS Nyacyina,2020,14.11,8.24,19.97,73.78,97.12,158829,Rural,Low Risk,0,0.10935363775735421
Southern,Ruhango,GS Agataramo,2021,11.57,4.37,18.77,90.01,63.07,323122,Rural,Low Risk,0,0.06557471264367816
Southern,Ruhango,GS Ruheru,2022,18.93,12.69,25.18,85.66,74.94,475146,Rural,High Risk,1,0.9194496539133381
Southern,Ruhango,New Vision,2023,12.14,11.29,12.98,83.35,62.8,278173,Rural,Low Risk,0,0.07007098680698468
Southern,Ruhango,GS Agataramo,2024,14.58,1.85,27.31,59.41,80.73,236385,Rural,Low Risk,1,0.5690190049991937
Southern,Ruhango,Mater Dei,2010,17.67,10.08,25.26,62.87,75.18,351004,Rural,High Risk,1,0.9458689067559584
Southern,Ruhango,King David,2011,6.89,3.65,10.13,70.6,75.93,341249,Rural,Low Risk,0,0.03849450231854429
Southern,Ruhango,New Vision,2012,21.08,16.67,25.5,70.26,96.6,403391,Rural,High Risk,1,0.9410692182738917
Southern,Ruhango,GS Akumunigo,2013,12.92,16.88,8.96,77.92,95.37,440414,Rural,Low Risk,0,0.07173582125443832
Southern,Ruhango,GS Nyacyina,2014,21.44,21.67,21.2,63.96,68.44,159807,Rural,High Risk,1,0.9486188289659537
Southern,Ruhango,GS Rutongo,2015,9.31,13.78,4.84,75.04,78.18,262793,Rural,Low Risk,0,0.09955018156274356
Southern,Ruhango,GS Ruramira,2016,10.44,6.54,14.33,68.39,67.92,178537,Rural,Low Risk,0,0.014802447831405836
Southern,Ruhango,GS Ruramira,2017,14.29,13.18,15.41,92.33,65.22,582551,Rural,Low Risk,0,0.11084201522031974
Southern,Ruhango,GS Rwamagana,2018,21.51,22.0,21.02,78.64,62.1,439298,Rural,High Risk,1,0.9872987002324716
Southern,Ruhango,GS Ruramira,2019,5.52,3.23,7.81,94.46,72.18,578928,Rural,Low Risk,0,0.005257876915814063
Southern,Ruhango,GS Nyacyina,2020,7.82,13.17,2.47,65.33,75.72,477844,Rural,Low Risk,0,0.048460645106956385
Southern,Ruhango,King David,2021,9.14,10.1,8.19,76.55,82.65,236949,Rural,Low Risk,0,0.04989085699290854
Southern,Ruhango,GS Mubuga,2022,16.97,16.53,17.42,72.09,80.53,579806,Rural,High Risk,1,0.92170230938652
Southern,Ruhango,GS Kinteko,2023,9.32,12.9,5.74,63.48,70.38,387239,Rural,Low Risk,0,0.060898565933000325
Southern,Ruhango,King David,2024,4.54,6.6,2.47,72.84,71.19,482733,Rural,Low Risk,0,0.013980548366444443
Southern,Gisagara,New Vision,2010,18.08,15.05,21.12,69.23,68.34,122692,Rural,High Risk,1,0.899114484596121
Southern,Gisagara,GS Rukomo,2011,7.05,5.33,8.78,69.24,87.19,270948,Rural,Low Risk,0,0.026638952777079446
Southern,Gisagara,GS Ruheru,2012,16.79,12.37,21.22,70.87,70.39,528565,Rural,High Risk,1,0.9074762104694511
Southern,Gisagara,GS Rwamagana,2013,8.65,9.62,7.67,66.3,86.9,163928,Rural,Low Risk,0,0.0227880826748458
Southern,Gisagara,GS Ruheru,2014,18.71,24.91,12.51,72.36,74.42,126553,Rural,High Risk,1,0.9629825182325183
Southern,Gisagara,GS Akumunigo,2015,16.57,3.36,29.78,78.62,99.09,440130,Rural,High Risk,1,0.8343826662932998
Southern,Gisagara,GS Agataramo,2016,24.53,19.5,29.57,80.06,77.86,462811,Rural,High Risk,1,0.9644549380908143
Southern,Gisagara,GS Gahanga I,2017,16.26,25.67,6.84,90.59,92.93,264726,Rural,High Risk,1,0.7812058117117098
Southern,Gisagara,GS Ruramira,2018,13.1,1.47,24.73,73.25,99.68,100320,Rural,Low Risk,0,0.14598873787031683
Southern,Gisagara,GS Mubuga,2019,17.22,8.34,26.1,55.72,99.17,146250,Rural,High Risk,1,0.6829913728865341
Southern,Gisagara,GS Buye,2020,19.43,20.62,18.23,82.14,83.01,560829,Rural,High Risk,1,0.9801648120001855
Southern,Gisagara,GS Akumunigo,2021,15.43,23.29,7.56,73.14,85.01,134152,Rural,High Risk,1,0.7712821446518041
Southern,Gisagara,GS Agataramo,2022,3.77,2.74,4.8,86.39,61.8,187592,Rural,Low Risk,0,0.000625
Southern,Gisagara,GS Buye,2023,15.58,18.23,12.93,53.86,84.91,300417,Rural,High Risk,1,0.7728781053171271
Southern,Gisagara,New Vision,2024,22.03,23.55,20.51,80.42,85.34,555224,Rural,High Risk,1,0.9834957264957265
Southern,Gisagara,GS Rukomo,2010,6.62,1.72,11.52,84.66,65.1,252225,Rural,Low Risk,0,0.013795882798236053
Southern,Gisagara,GS Akumunigo,2011,15.62,21.73,9.51,80.58,96.01,430456,Rural,High Risk,1,0.7624422861161894
Southern,Gisagara,GS Camp Kigali,2012,18.34,18.82,17.85,75.25,63.27,498276,Rural,High Risk,1,0.9218250060742246
Southern,Gisagara,New Vision,2013,9.27,4.71,13.83,68.18,96.11,550134,Rural,Low Risk,0,0.08251591084883224
Southern,Gisagara,GS Agataramo,2014,26.2,24.59,27.8,73.99,72.73,529850,Rural,High Risk,1,0.9864839555138062
Southern,Gisagara,GS Nyacyina,2015,9.51,9.36,9.66,72.62,72.91,252027,Rural,Low Risk,0,0.021785880234871775
Southern,Gisagara,Marie Merci,2016,14.16,3.67,24.64,92.95,95.95,148924,Rural,Low Risk,0,0.19854279279279274
Southern,Gisagara,GS Kimironko II,2017,16.23,12.14,20.32,80.36,75.6,387360,Rural,High Risk,1,0.8554257126033049
Southern,Gisagara,King David,2018,14.21,3.35,25.06,84.54,63.51,168111,Rural,Low Risk,0,0.23048448714591685
Southern,Gisagara,GS Rutongo,2019,12.37,14.45,10.28,69.87,79.56,354803,Rural,Low Risk,0,0.06688143281844329
Southern,Gisagara,GS Rwamagana,2020,16.36,21.14,11.58,85.13,64.78,147315,Rural,High Risk,1,0.8690552471909363
Southern,Gisagara,GS Akumunigo,2021,20.91,26.31,15.5,83.74,67.47,335707,Rural,High Risk,1,0.9717489122770815
Southern,Gisagara,GS Buye,2022,16.37,13.85,18.9,76.16,65.02,533961,Rural,High Risk,1,0.8236189517858574
Southern,Gisagara,GS Migongo,2023,17.34,17.98,16.7,53.58,64.22,170411,Rural,High Risk,1,0.9325644022155649
Southern,Gisagara,GS Rutongo,2024,22.14,19.5,24.78,63.49,87.57,592461,Rural,High Risk,1,0.9184250136836346
Southern,Gisagara,New Vision,2010,10.87,16.8,4.93,74.21,96.31,553955,Rural,Low Risk,0,0.07672709036053155
Southern,Gisagara,GS Gahanga I,2011,17.06,23.34,10.78,86.78,89.3,252271,Rural,High Risk,1,0.9226405804255023
Southern,Gisagara,GS Rwanyanza,2012,17.48,25.16,9.79,89.87,97.23,442022,Rural,High Risk,1,0.7864033644467235
Southern,Gisagara,GS Kinteko,2013,17.07,23.91,10.22,73.13,92.63,328892,Rural,High Risk,1,0.9390775811851233
Southern,Gisagara,GS Agataramo,2014,4.29,5.82,2.77,65.14,64.57,135315,Rural,Low Risk,0,0.08554030054644808
Southern,Gisagara,King David,2015,9.91,1.01,18.81,76.85,75.88,361439,Rural,Low Risk,0,0.04139249294636979
Southern,Gisagara,GS Matara,2016,13.55,22.18,4.93,59.45,70.5,580751,Rural,Low Risk,0,0.12142173257156136
Southern,Gisagara,GS Agataramo,2017,7.74,10.8,4.68,63.86,89.37,489546,Rural,Low Risk,0,0.0686142662018166
Southern,Gisagara,GS Rwanyanza,2018,17.64,17.02,18.26,86.22,73.82,243314,Rural,High Risk,1,0.8733114945749787
Southern,Gisagara,GS Buye,2019,10.35,3.3,17.41,82.61,71.85,258223,Rural,Low Risk,0,0.042903298364849726
Southern,Gisagara,GS Akumunigo,2020,15.91,13.55,18.27,75.5,90.21,426694,Rural,High Risk,1,0.6304057648651188
Southern,Gisagara,GS Rukomo,2021,9.08,3.33,14.83,86.47,91.34,493908,Rural,Low Risk,0,0.015342318997872728
Southern,Gisagara,GS Buye,2022,20.01,10.37,29.64,68.0,84.13,308535,Rural,High Risk,1,0.9140863723085917
Southern,Gisagara,GS Cyahafi,2023,21.57,13.26,29.87,72.64,65.97,257195,Rural,High Risk,1,0.9697823090397903
Southern,Gisagara,Mater Dei,2024,18.63,10.91,26.34,55.99,82.68,537364,Rural,High Risk,1,0.8891606225192433
Southern,Gisagara,Mater Dei,2010,10.4,6.49,14.32,91.44,93.41,574718,Rural,Low Risk,0,0.08370291325818759
Southern,Gisagara,King David,2011,12.14,8.67,15.6,57.16,97.42,322633,Rural,Low Risk,0,0.056798163515673766
Southern,Gisagara,King David,2012,4.8,1.42,8.17,75.77,76.6,309074,Rural,Low Risk,0,0.015010323593649373
Southern,Gisagara,GS Camp Kigali,2013,13.19,1.61,24.77,90.31,71.33,439386,Rural,Low Risk,0,0.178592098532643
Southern,Gisagara,GS Rwanyanza,2014,10.25,19.13,1.36,72.13,69.77,566978,Rural,Low Risk,0,0.044211158540998295
Southern,Gisagara,GS Akumunigo,2015,27.2,25.79,28.62,78.85,67.77,399182,Rural,High Risk,1,0.9744044844044845
Southern,Gisagara,GS Rukomo,2016,9.4,1.75,17.05,87.88,68.07,303085,Rural,Low Risk,0,0.0283299897715243
Southern,Gisagara,GS Kinteko,2017,3.06,3.84,2.28,68.16,85.82,327328,Rural,Low Risk,0,0.01905603652071766
Southern,Gisagara,GS Camp Kigali,2018,4.58,3.24,5.93,56.26,80.74,354371,Rural,Low Risk,0,0.025028239786592896
Southern,Gisagara,GS Ruheru,2019,21.58,21.03,22.13,74.38,63.65,150971,Rural,High Risk,1,0.9616742292163551
Southern,Gisagara,GS Rwanyanza,2020,4.27,5.93,2.61,77.43,76.55,180863,Rural,Low Risk,0,0.002911860639237761
Southern,Gisagara,GS Matara,2021,15.66,1.64,29.67,75.23,81.99,204215,Rural,High Risk,1,0.8147606490649574
Southern,Gisagara,GS Kinteko,2022,5.84,7.87,3.81,74.41,87.1,331414,Rural,Low Risk,0,0.014371884756153905
Southern,Gisagara,Mater Dei,2023,18.67,23.67,13.67,81.88,93.75,502406,Rural,High Risk,1,0.8965621028372659
Southern,Gisagara,GS Mweya,2024,25.53,28.89,22.18,78.01,89.59,500085,Rural,High Risk,1,0.9668131868131868
Southern,Gisagara,GS Kimironko II,2010,15.48,13.18,17.77,90.92,94.66,301904,Rural,High Risk,1,0.5620421512860123
Southern,Gisagara,GS Camp Kigali,2011,9.06,5.06,13.06,73.78,80.78,384981,Rural,Low Risk,0,0.042038998571328305
Southern,Gisagara,GS Nyacyina,2012,16.54,20.59,12.48,57.29,97.97,464628,Rural,High Risk,1,0.9086474922208683
Southern,Gisagara,GS Cyahafi,2013,12.07,12.86,11.28,75.84,88.03,232447,Rural,Low Risk,0,0.046932387530707255
Southern,Gisagara,GS Nyacyina,2014,10.18,5.68,14.68,78.09,68.4,460306,Rural,Low Risk,0,0.015831967988427773
Southern,Gisagara,GS Kinteko,2015,8.49,14.72,2.26,75.75,89.79,312792,Rural,Low Risk,0,0.03911229437077886
Southern,Gisagara,GS Rwamagana,2016,16.93,18.69,15.16,59.86,76.76,341040,Rural,High Risk,1,0.8359836128680378
Southern,Gisagara,King David,2017,11.65,10.25,13.05,78.76,63.65,469738,Rural,Low Risk,0,0.07383480224975121
Southern,Gisagara,GS Buye,2018,10.37,6.06,14.68,67.93,82.02,172572,Rural,Low Risk,0,0.0328255735709705
Southern,Gisagara,GS Matara,2019,16.85,27.0,6.69,72.11,83.08,243704,Rural,High Risk,1,0.8702106829489573
Southern,Gisagara,Mater Dei,2020,21.59,24.44,18.74,63.79,73.1,399488,Rural,High Risk,1,0.9860430014430014
Southern,Gisagara,GS Rwanyanza,2021,18.04,23.93,12.16,75.75,83.59,598757,Rural,High Risk,1,0.7863118833118833
Southern,Gisagara,King David,2022,4.76,3.55,5.98,68.3,71.33,290195,Rural,Low Risk,0,0.020499613514000457
Southern,Gisagara,New Vision,2023,19.14,12.24,26.04,65.06,70.64,173870,Rural,High Risk,1,0.9225809186678766
Southern,Gisagara,GS Rwamagana,2024,20.86,21.5,20.21,92.34,92.64,205219,Rural,High Risk,1,0.966483204134367
Southern,Nyamagabe,GS Ruramira,2010,3.01,4.99,1.03,73.2,68.38,112940,Rural,Low Risk,0,0.0023443941136995494
Southern,Nyamagabe,GS Kimironko II,2011,23.01,22.98,23.04,68.08,68.39,290271,Rural,High Risk,1,0.9792071224373109
Southern,Nyamagabe,GS Migongo,2012,12.02,12.19,11.84,75.94,66.08,387507,Rural,Low Risk,0,0.08142609430161611
Southern,Nyamagabe,ES Kigoma,2013,21.31,20.48,22.15,69.55,80.18,340313,Rural,High Risk,1,0.9822271270031905
Southern,Nyamagabe,GS Rutongo,2014,21.16,19.71,22.61,65.94,70.77,199694,Rural,High Risk,1,0.9326234139840233
Southern,Nyamagabe,Mater Dei,2015,17.22,24.06,10.39,72.71,86.31,482563,Rural,High Risk,1,0.8887613344809515
Southern,Nyamagabe,GS Agataramo,2016,25.52,23.85,27.19,77.0,63.3,591087,Rural,High Risk,1,0.9427448264258398
Southern,Nyamagabe,New Vision,2017,22.35,16.83,27.86,91.41,70.95,424101,Rural,High Risk,1,0.9657850127204967
Southern,Nyamagabe,GS Cyahafi,2018,18.13,25.75,10.52,68.08,69.25,275486,Rural,High Risk,1,0.9434147869674185
Southern,Nyamagabe,GS Matara,2019,4.49,2.85,6.14,61.26,63.37,252117,Rural,Low Risk,0,0.02182478145592899
Southern,Nyamagabe,King David,2020,27.31,28.36,26.27,76.82,92.13,584972,Rural,High Risk,1,0.9642213292511801
Southern,Nyamagabe,GS Matara,2021,11.57,3.38,19.76,81.58,72.29,359590,Rural,Low Risk,0,0.01931061582334513
Southern,Nyamagabe,GS Agataramo,2022,18.87,25.62,12.12,75.12,81.96,567633,Rural,High Risk,1,0.8210456996595955
Southern,Nyamagabe,GS Kinteko,2023,12.38,9.93,14.84,94.36,97.3,220494,Rural,Low Risk,0,0.06369856738297518
Southern,Nyamagabe,GS Kimironko II,2024,20.84,20.46,21.21,81.06,89.01,278838,Rural,High Risk,1,0.9828757358366061
Southern,Nyamagabe,GS Rwanyanza,2010,18.58,11.14,26.01,73.21,85.19,449132,Rural,High Risk,1,0.9442423390874025
Southern,Nyamagabe,GS Agataramo,2011,23.62,29.35,17.9,97.67,68.86,141505,Rural,High Risk,1,0.98
Southern,Nyamagabe,GS Gahanga I,2012,10.14,5.86,14.42,53.88,76.63,183981,Rural,Low Risk,0,0.06130311675062505
Southern,Nyamagabe,GS Kimironko II,2013,14.42,14.75,14.09,84.98,78.72,377948,Rural,Low Risk,0,0.053820147507119796
Southern,Nyamagabe,GS Matara,2014,26.35,26.96,25.74,70.27,71.07,282774,Rural,High Risk,1,0.9948784548784549
Southern,Nyamagabe,GS Migongo,2015,21.4,20.16,22.64,78.93,70.38,344159,Rural,High Risk,1,0.9707831619381581
Southern,Nyamagabe,GS Cyahafi,2016,10.03,6.92,13.14,55.5,96.6,131551,Rural,Low Risk,0,0.015608667941363926
Southern,Nyamagabe,GS Cyahafi,2017,5.18,5.87,4.49,69.79,97.15,597760,Rural,Low Risk,0,0.011659649122807016
Southern,Nyamagabe,GS Kimironko II,2018,13.49,15.86,11.12,74.9,88.75,133896,Rural,Low Risk,0,0.096520612592293
Southern,Nyamagabe,GS Rutongo,2019,18.79,29.84,7.75,56.09,61.56,474796,Rural,High Risk,1,0.9128344610799359
Southern,Nyamagabe,GS Agataramo,2020,12.39,10.9,13.88,79.61,94.46,395830,Rural,Low Risk,0,0.05719505413899626
Southern,Nyamagabe,GS Gahanga I,2021,18.96,23.56,14.36,86.8,99.48,326599,Rural,High Risk,1,0.8383065706902917
Southern,Nyamagabe,GS Rwamagana,2022,23.19,16.61,29.77,73.87,88.25,204186,Rural,High Risk,1,0.9462779339045944
Southern,Nyamagabe,Mater Dei,2023,14.37,1.53,27.22,76.51,98.06,349200,Rural,Low Risk,0,0.20347362176583425
Southern,Nyamagabe,GS Rwanyanza,2024,9.89,6.36,13.42,57.13,74.53,309884,Rural,Low Risk,0,0.09190368778813723
Southern,Nyamagabe,New Vision,2010,16.37,4.1,28.65,58.95,71.92,481325,Rural,High Risk,1,0.8208191919191918
Southern,Nyamagabe,GS Nyacyina,2011,14.13,23.71,4.55,68.97,62.82,124354,Rural,Low Risk,0,0.14272087213263684
Southern,Nyamagabe,GS Kinteko,2012,20.81,24.82,16.79,75.83,69.88,212564,Rural,High Risk,1,0.9518975236213447
Southern,Nyamagabe,GS Agataramo,2013,19.58,15.84,23.31,96.1,92.78,133302,Rural,High Risk,1,0.8826950354609928
Southern,Nyamagabe,GS Migongo,2014,9.31,9.24,9.38,69.26,81.78,485350,Rural,Low Risk,0,0.04778955118479161
Southern,Nyamagabe,GS Kimironko II,2015,10.3,6.63,13.97,87.11,76.45,239392,Rural,Low Risk,0,0.034342970176876826
Southern,Nyamagabe,GS Ruramira,2016,18.32,12.64,24.0,60.16,98.03,352364,Rural,High Risk,1,0.9576235149832434
Southern,Nyamagabe,GS Matara,2017,25.71,29.12,22.31,88.81,64.63,201444,Rural,High Risk,1,0.9877973484848485
Southern,Nyamagabe,GS Akumunigo,2018,16.8,4.15,29.46,78.92,73.7,552686,Rural,High Risk,1,0.6970770025175469
Southern,Nyamagabe,GS Kimironko II,2019,16.72,5.23,28.2,95.13,85.02,274673,Rural,High Risk,1,0.6700092592592592
Southern,Nyamagabe,GS Gahanga I,2020,18.88,17.29,20.47,88.64,92.99,485693,Rural,High Risk,1,0.9550700727067445
Southern,Nyamagabe,GS Akumunigo,2021,10.68,8.01,13.35,90.64,82.58,509291,Rural,Low Risk,0,0.03722102894680142
Southern,Nyamagabe,King David,2022,19.64,16.26,23.02,72.65,78.85,543833,Rural,High Risk,1,0.9112892403550872
Southern,Nyamagabe,King David,2023,14.49,16.0,12.98,65.29,62.89,539257,Rural,Low Risk,0,0.18307042306774746
Southern,Nyamagabe,GS Akumunigo,2024,16.74,22.03,11.45,57.23,81.82,210957,Rural,High Risk,1,0.9197816463850976
Southern,Nyamagabe,GS Camp Kigali,2010,16.34,8.12,24.56,61.36,82.82,191229,Rural,High Risk,1,0.7795400082965871
Southern,Nyamagabe,Mater Dei,2011,10.92,7.97,13.87,59.08,95.06,572617,Rural,Low Risk,0,0.032649558210515066
Southern,Nyamagabe,GS Rwamagana,2012,11.15,10.51,11.79,77.47,98.08,154675,Rural,Low Risk,0,0.0332437875679761
Southern,Nyamagabe,King David,2013,14.49,26.55,2.44,68.05,69.08,137394,Rural,Low Risk,0,0.1234283254416434
Southern,Nyamagabe,GS Rutongo,2014,14.82,21.05,8.59,86.34,67.61,556672,Rural,Low Risk,0,0.37948906234379154
Southern,Nyamagabe,GS Ruramira,2015,23.82,23.1,24.54,69.39,93.94,513026,Rural,High Risk,1,0.9844276448783841
Southern,Nyamagabe,GS Kinteko,2016,23.68,28.29,19.07,88.67,93.8,245213,Rural,High Risk,1,0.95
Southern,Nyamagabe,Marie Merci,2017,16.6,12.65,20.54,79.98,74.28,532015,Rural,High Risk,1,0.9345596275298962
Southern,Nyamagabe,GS Kinteko,2018,19.78,22.73,16.83,62.4,89.94,346060,Rural,High Risk,1,0.9681646585268876
Southern,Nyamagabe,GS Matara,2019,25.39,29.05,21.74,84.61,79.0,125739,Rural,High Risk,1,0.97053382925118
Southern,Nyamagabe,GS Matara,2020,11.13,8.31,13.96,58.24,60.04,445665,Rural,Low Risk,0,0.05120801193410669
Southern,Nyamagabe,GS Gahanga I,2021,11.46,10.68,12.24,71.91,94.28,598221,Rural,Low Risk,0,0.05389998364451604
Southern,Nyamagabe,GS Gahanga I,2022,23.57,21.33,25.81,68.19,97.47,321421,Rural,High Risk,1,0.9783158042411896
Southern,Nyamagabe,GS Matara,2023,5.16,6.17,4.14,86.41,73.03,468615,Rural,Low Risk,0,0.00674228099497698
Southern,Nyamagabe,GS Agataramo,2024,12.47,17.93,7.0,73.39,74.24,471780,Rural,Low Risk,0,0.10484894891241454
Southern,Nyamagabe,GS Agataramo,2010,7.19,5.08,9.31,81.65,93.46,579653,Rural,Low Risk,0,0.015079514155569282
Southern,Nyamagabe,Mater Dei,2011,16.15,22.42,9.88,74.03,67.71,372502,Rural,High Risk,1,0.8432390762455061
Southern,Nyamagabe,Mater Dei,2012,13.29,22.06,4.52,70.88,82.58,225865,Rural,Low Risk,0,0.10100177533209308
Southern,Nyamagabe,GS Gitega,2013,24.01,18.9,29.12,91.26,90.49,281089,Rural,High Risk,1,0.9775942140296979
Southern,Nyamagabe,GS Rwamagana,2014,19.71,20.33,19.08,77.31,81.15,494890,Rural,High Risk,1,0.9701672392055921
Southern,Nyamagabe,GS Rukomo,2015,16.52,24.58,8.47,79.0,80.27,289167,Rural,High Risk,1,0.7348968569209877
Southern,Nyamagabe,New Vision,2016,14.66,24.35,4.97,74.08,75.51,262696,Rural,Low Risk,0,0.16575938521173292
Southern,Nyamagabe,ES Kigoma,2017,25.63,25.26,26.01,79.21,61.64,533541,Rural,High Risk,1,0.9716840104340104
Southern,Nyamagabe,Mater Dei,2018,6.62,2.83,10.41,75.25,67.18,532184,Rural,Low Risk,0,0.022911596060372838
Southern,Nyamagabe,GS Mweya,2019,8.31,13.45,3.17,73.59,69.59,151482,Rural,Low Risk,0,0.01470327095316473
Southern,Nyamagabe,GS Cyahafi,2020,10.26,2.8,17.73,53.89,62.11,347677,Rural,Low Risk,0,0.1080224229837592
Southern,Nyamagabe,GS Kinteko,2021,8.0,2.31,13.7,77.66,76.87,123777,Rural,Low Risk,0,0.013040689850040263
Southern,Nyamagabe,GS Mweya,2022,17.65,17.75,17.56,66.2,64.26,525643,Rural,High Risk,1,0.9432949215535423
Southern,Nyamagabe,GS Camp Kigali,2023,26.13,23.23,29.02,95.88,84.03,357831,Rural,High Risk,1,0.996483204134367
Southern,Nyamagabe,GS Ruramira,2024,16.75,19.29,14.21,80.99,71.28,299488,Rural,High Risk,1,0.6337559903190193
Eastern,Ngoma,Mater Dei,2010,17.77,18.7,16.85,64.83,94.08,160282,Rural,High Risk,1,0.8099376965804026
Eastern,Ngoma,Mater Dei,2011,20.44,28.95,11.93,67.07,87.32,407481,Rural,High Risk,1,0.9377030612209145
Eastern,Ngoma,GS Mweya,2012,12.33,2.02,22.64,74.07,81.49,361578,Rural,Low Risk,0,0.07537041948941262
Eastern,Ngoma,GS Ruramira,2013,7.39,4.81,9.98,77.77,90.42,129087,Rural,Low Risk,0,0.03727427490542245
Eastern,Ngoma,GS Gitega,2014,14.64,6.34,22.94,67.5,84.66,317508,Rural,Low Risk,0,0.1670806017548731
